word,label,di_word_pos,root_word,root_word_pos,following_word,following_word_pos
diPengadilan Tipikor Jakarta,0,VP,adil tipikor jakarta,ADJP,Pengadilan Tipikor Jakarta,NN
di Pengadilan Tipikor Jakarta,1,IN,adil tipikor jakarta,ADJP,Pengadilan Tipikor Jakarta,NN
di helat diadakan,0,IN,helat adakan,ADJP,helat diadakan,ADJP
dihelat diadakan,1,VP,helat adakan,ADJP,helat diadakan,ADJP
diMakamah Agung,0,VP,makamah agung,ADJP,Makamah Agung,NP
di Makamah Agung,1,IN,makamah agung,ADJP,Makamah Agung,NP
diMakamah Konstitusi,0,VP,makamah konstitusi,ADJP,Makamah Konstitusi,NNP
di Makamah Konstitusi,1,IN,makamah konstitusi,ADJP,Makamah Konstitusi,NNP
disalah satu,0,VP,salah satu,ADJP,salah satu,ADJP
disalah satu,0,VP,salah satu,ADJP,salah satu,ADJP
disalah satu,0,VP,salah satu,ADJP,salah satu,ADJP
disalah satu,0,VP,salah satu,ADJP,salah satu,ADJP
disalah satu,0,VP,salah satu,ADJP,salah satu,ADJP
di salah satu,1,IN,salah satu,ADJP,salah satu,ADJP
di salah satu,1,IN,salah satu,ADJP,salah satu,ADJP
di salah satu,1,IN,salah satu,ADJP,salah satu,ADJP
di salah satu,1,IN,salah satu,ADJP,salah satu,ADJP
di salah satu,1,IN,salah satu,ADJP,salah satu,ADJP
diSeri IV,0,VP,seri iv,ADJP,Seri IV,NP
di Seri IV,1,IN,seri iv,ADJP,Seri IV,NP
ditunggal putra,0,VP,tunggal putra,ADJP,tunggal putra,ADJP
di tunggal putra,1,IN,tunggal putra,ADJP,tunggal putra,ADJP
di amati,0,IN,amat,ADV,amati,VB
di amati,0,IN,amat,ADV,amati,VB
di amati,0,IN,amat,ADV,amati,VB
di amati,0,IN,amat,ADV,amati,VB
diamati,1,VB,amat,ADV,amati,VB
diamati,1,VB,amat,ADV,amati,VB
diamati,1,VB,amat,ADV,amati,VB
diamati,1,VB,amat,ADV,amati,VB
di bolehkan,0,IN,boleh,ADV,bolehkan,VB
di bolehkan,0,IN,boleh,ADV,bolehkan,VB
di perbolehkan,0,IN,boleh,ADV,perbolehkan,NN
di perbolehkan,0,IN,boleh,ADV,perbolehkan,NN
di perbolehkan,0,IN,boleh,ADV,perbolehkan,NN
dibolehkan,1,VB,boleh,ADV,bolehkan,VB
dibolehkan,1,VB,boleh,ADV,bolehkan,VB
diperbolehkan,1,VB,boleh,ADV,perbolehkan,NN
diperbolehkan,1,VB,boleh,ADV,perbolehkan,NN
diperbolehkan,1,VB,boleh,ADV,perbolehkan,NN
di dapat,0,IN,dapat,ADV,dapat,ADV
di dapat,0,IN,dapat,ADV,dapat,ADV
di dapat,0,IN,dapat,ADV,dapat,ADV
di dapatkan,0,IN,dapat,ADV,dapatkan,VB
di dapatkan,0,IN,dapat,ADV,dapatkan,VB
di dapatkan,0,IN,dapat,ADV,dapatkan,VB
di dapatkan,0,IN,dapat,ADV,dapatkan,VB
didapat,1,VB,dapat,ADV,dapat,ADV
didapat,1,VB,dapat,ADV,dapat,ADV
didapat,1,VB,dapat,ADV,dapat,ADV
didapatkan,1,VB,dapat,ADV,dapatkan,VB
didapatkan,1,VB,dapat,ADV,dapatkan,VB
didapatkan,1,VB,dapat,ADV,dapatkan,VB
didapatkan,1,VB,dapat,ADV,dapatkan,VB
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
didepan,0,VB,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
di depan,1,IN,depan,ADV,depan,ADV
